Date,USD_ZAR
2000-05-18,7.134
2000-05-19,7.18
2000-05-22,7.1175
2000-05-23,7.055
2000-05-24,7.118
2000-05-25,7.1475
2000-05-26,7.135
2000-05-29,
2000-05-30,7.0515
2000-05-31,6.9675
2000-06-01,6.9875
2000-06-02,6.93
2000-06-05,6.925
2000-06-06,6.945
2000-06-07,6.9725
2000-06-08,7.0475
2000-06-09,7.004
2000-06-12,7.028
2000-06-13,7.005
2000-06-14,6.93
2000-06-15,6.9
2000-06-16,6.83
2000-06-19,6.866
2000-06-20,6.905
2000-06-21,6.93
2000-06-22,6.919
2000-06-23,6.88
2000-06-26,6.878
2000-06-27,6.8175
2000-06-28,6.81
2000-06-29,6.8225
2000-06-30,6.79
2000-07-03,6.8125
2000-07-04,
2000-07-05,6.785
2000-07-06,6.85
2000-07-07,6.845
2000-07-10,6.825
2000-07-11,6.81
2000-07-12,6.835
2000-07-13,6.845
2000-07-14,6.89
2000-07-17,6.9275
2000-07-18,6.9475
2000-07-19,6.98
2000-07-20,6.9225
2000-07-21,6.925
2000-07-24,6.955
2000-07-25,6.96
2000-07-26,6.945
2000-07-27,6.942
2000-07-28,6.975
2000-07-31,6.965
2000-08-01,6.975
2000-08-02,6.99
2000-08-03,7.01
2000-08-04,6.9675
2000-08-07,6.9515
2000-08-08,6.985
2000-08-09,7.003
2000-08-10,6.954
2000-08-11,6.899
2000-08-14,6.9165
2000-08-15,6.942
2000-08-16,6.9375
2000-08-17,6.925
2000-08-18,6.947
2000-08-21,6.962
2000-08-22,6.9885
2000-08-23,6.965
2000-08-24,6.949
2000-08-25,6.905
2000-08-28,6.949
2000-08-29,6.9525
2000-08-30,6.96
2000-08-31,6.976
2000-09-01,6.945
2000-09-04,
2000-09-05,7.034
2000-09-06,7.085
2000-09-07,7.105
2000-09-08,7.095
2000-09-11,7.115
2000-09-12,7.142
2000-09-13,7.109
2000-09-14,7.15
2000-09-15,7.1735
2000-09-18,7.28
2000-09-19,7.29
2000-09-20,7.335
2000-09-21,7.315
2000-09-22,7.25
2000-09-25,7.239
2000-09-26,7.205
2000-09-27,7.255
2000-09-28,7.268
2000-09-29,7.219
2000-10-02,7.1975
2000-10-03,7.235
2000-10-04,7.244
2000-10-05,7.27
2000-10-06,7.3
2000-10-09,
2000-10-10,7.37
2000-10-11,7.402
2000-10-12,7.46
2000-10-13,7.495
2000-10-16,7.5775
2000-10-17,7.565
2000-10-18,7.7125
2000-10-19,7.67
2000-10-20,7.585
2000-10-23,7.58
2000-10-24,7.6005
2000-10-25,7.62
2000-10-26,7.685
2000-10-27,7.606
2000-10-30,7.559
2000-10-31,7.56
2000-11-01,7.4987
2000-11-02,7.53
2000-11-03,7.5325
2000-11-06,7.548
2000-11-07,7.624
2000-11-08,7.6645
2000-11-09,7.7425
2000-11-10,7.602
2000-11-13,7.65
2000-11-14,7.658
2000-11-15,7.689
2000-11-16,7.685
2000-11-17,7.7075
2000-11-20,7.7675
2000-11-21,7.82
2000-11-22,7.83
2000-11-23,
2000-11-24,7.835
2000-11-27,7.771
2000-11-28,7.7875
2000-11-29,7.774
2000-11-30,7.75
2000-12-01,7.655
2000-12-04,7.645
2000-12-05,7.655
2000-12-06,7.582
2000-12-07,7.6175
2000-12-08,7.64
2000-12-11,7.668
2000-12-12,7.743
2000-12-13,7.7725
2000-12-14,7.7375
2000-12-15,7.69
2000-12-18,7.68
2000-12-19,7.715
2000-12-20,7.66
2000-12-21,7.63
2000-12-22,7.5675
2000-12-25,
2000-12-26,7.55
2000-12-27,7.5375
2000-12-28,7.5625
2000-12-29,7.57
2001-01-01,
2001-01-02,7.569
2001-01-03,7.5025
2001-01-04,7.543
2001-01-05,7.56
2001-01-08,7.595
2001-01-09,7.72
2001-01-10,7.978
2001-01-11,7.845
2001-01-12,7.825
2001-01-15,
2001-01-16,7.825
2001-01-17,7.8575
2001-01-18,7.8675
2001-01-19,7.874
2001-01-22,7.87
2001-01-23,7.835
2001-01-24,7.88
2001-01-25,7.865
2001-01-26,7.895
2001-01-29,7.875
2001-01-30,7.8
2001-01-31,7.77
2001-02-01,7.73
2001-02-02,7.775
2001-02-05,7.7775
2001-02-06,7.79
2001-02-07,7.88
2001-02-08,7.9875
2001-02-09,7.867
2001-02-12,7.835
2001-02-13,7.901
2001-02-14,7.88
2001-02-15,7.8775
2001-02-16,7.846
2001-02-19,
2001-02-20,7.764
2001-02-21,7.8
2001-02-22,7.84
2001-02-23,7.85
2001-02-26,7.782
2001-02-27,7.723
2001-02-28,7.702
2001-03-01,7.7375
2001-03-02,7.744
2001-03-05,7.77
2001-03-06,7.89
2001-03-07,7.925
2001-03-08,7.726
2001-03-09,7.755
2001-03-12,7.776
2001-03-13,7.79
2001-03-14,7.861
2001-03-15,7.8482
2001-03-16,7.9475
2001-03-19,8.0
2001-03-20,7.9775
2001-03-21,7.995
2001-03-22,8.03
2001-03-23,7.97
2001-03-26,7.952
2001-03-27,8.003
2001-03-28,8.01
2001-03-29,8.01
2001-03-30,8.0375
2001-04-02,8.11
2001-04-03,8.12
2001-04-04,8.074
2001-04-05,8.0825
2001-04-06,8.065
2001-04-09,8.065
2001-04-10,8.0365
2001-04-11,8.037
2001-04-12,8.022
2001-04-13,8.043
2001-04-16,8.035
2001-04-17,8.15
2001-04-18,8.125
2001-04-19,8.141
2001-04-20,8.162
2001-04-23,8.148
2001-04-24,8.104
2001-04-25,8.1075
2001-04-26,8.015
2001-04-27,7.9675
2001-04-30,8.035
2001-05-01,8.0225
2001-05-02,8.035
2001-05-03,8.0975
2001-05-04,8.035
2001-05-07,7.986
2001-05-08,8.006
2001-05-09,7.95
2001-05-10,7.955
2001-05-11,7.97
2001-05-14,7.9875
2001-05-15,8.004
2001-05-16,8.0175
2001-05-17,7.9675
2001-05-18,7.932
2001-05-21,7.8975
2001-05-22,7.913
2001-05-23,7.95
2001-05-24,7.965
2001-05-25,7.905
2001-05-28,
2001-05-29,7.94
2001-05-30,7.98
2001-05-31,8.02
2001-06-01,8.035
2001-06-04,8.04
2001-06-05,8.048
2001-06-06,8.088
2001-06-07,8.095
2001-06-08,8.065
2001-06-11,8.099
2001-06-12,8.105
2001-06-13,8.09
2001-06-14,8.04
2001-06-15,8.0
2001-06-18,8.0525
2001-06-19,8.0725
2001-06-20,8.095
2001-06-21,8.0625
2001-06-22,8.0375
2001-06-25,8.049
2001-06-26,8.021
2001-06-27,8.04
2001-06-28,8.065
2001-06-29,8.05
2001-07-02,8.0175
2001-07-03,8.014
2001-07-04,
2001-07-05,8.145
2001-07-06,8.2075
2001-07-09,8.213
2001-07-10,8.25
2001-07-11,8.26
2001-07-12,8.28
2001-07-13,8.26
2001-07-16,8.2615
2001-07-17,8.245
2001-07-18,8.25
2001-07-19,8.2825
2001-07-20,8.256
2001-07-23,8.215
2001-07-24,8.189
2001-07-25,8.208
2001-07-26,8.163
2001-07-27,8.195
2001-07-30,8.229
2001-07-31,8.256
2001-08-01,8.245
2001-08-02,8.23
2001-08-03,8.2525
2001-08-06,8.3055
2001-08-07,8.285
2001-08-08,8.295
2001-08-09,8.29
2001-08-10,8.2275
2001-08-13,8.278
2001-08-14,8.2775
2001-08-15,8.2275
2001-08-16,8.237
2001-08-17,8.275
2001-08-20,8.3125
2001-08-21,8.406
2001-08-22,8.386
2001-08-23,8.355
2001-08-24,8.3753
2001-08-27,8.4
2001-08-28,8.36
2001-08-29,8.346
2001-08-30,8.369
2001-08-31,8.43
2001-09-03,
2001-09-04,8.47
2001-09-05,8.5
2001-09-06,8.5225
2001-09-07,8.475
2001-09-10,8.53
2001-09-11,
2001-09-12,8.6175
2001-09-13,8.6198
2001-09-14,8.6147
2001-09-17,8.6301
2001-09-18,8.6534
2001-09-19,8.6403
2001-09-20,8.7013
2001-09-21,8.7798
2001-09-24,8.7544
2001-09-25,8.7714
2001-09-26,8.8713
2001-09-27,8.9852
2001-09-28,9.0249
2001-10-01,9.0661
2001-10-02,9.185
2001-10-03,9.3587
2001-10-04,9.284
2001-10-05,9.256
2001-10-08,
2001-10-09,9.264
2001-10-10,9.21
2001-10-11,9.1625
2001-10-12,9.145
2001-10-15,9.022
2001-10-16,9.235
2001-10-17,9.26
2001-10-18,9.238
2001-10-19,9.2537
2001-10-22,9.513
2001-10-23,9.477
2001-10-24,9.3775
2001-10-25,9.3675
2001-10-26,9.375
2001-10-29,9.2896
2001-10-30,9.397
2001-10-31,9.4325
2001-11-01,9.53
2001-11-02,9.541
2001-11-05,9.485
2001-11-06,9.458
2001-11-07,9.5425
2001-11-08,9.54
2001-11-09,9.63
2001-11-12,
2001-11-13,9.693
2001-11-14,9.6675
2001-11-15,9.57
2001-11-16,9.566
2001-11-19,9.685
2001-11-20,9.7311
2001-11-21,9.9175
2001-11-22,
2001-11-23,9.96
2001-11-26,9.903
2001-11-27,9.9797
2001-11-28,9.8525
2001-11-29,10.219
2001-11-30,10.306
2001-12-03,10.36
2001-12-04,10.5962
2001-12-05,10.826
2001-12-06,10.93
2001-12-07,11.17
2001-12-10,11.02
2001-12-11,11.11
2001-12-12,11.15
2001-12-13,11.54
2001-12-14,12.2
2001-12-17,12.05
2001-12-18,12.23
2001-12-19,12.5
2001-12-20,13.6
2001-12-21,12.41
2001-12-24,12.0
2001-12-25,
2001-12-26,11.99
2001-12-27,11.84
2001-12-28,12.0
2001-12-31,12.0
2002-01-01,
2002-01-02,12.47
2002-01-03,12.405
2002-01-04,12.136
2002-01-07,11.77
2002-01-08,11.48
2002-01-09,11.45
2002-01-10,11.55
2002-01-11,11.42
2002-01-14,11.55
2002-01-15,11.72
2002-01-16,11.67
2002-01-17,11.445
2002-01-18,11.5
2002-01-21,
2002-01-22,11.69
2002-01-23,11.39
2002-01-24,11.255
2002-01-25,11.4
2002-01-28,11.55
2002-01-29,11.41
2002-01-30,11.46
2002-01-31,11.42
2002-02-01,11.68
2002-02-04,11.635
2002-02-05,11.63
2002-02-06,11.48
2002-02-07,11.4562
2002-02-08,11.48
2002-02-11,11.58
2002-02-12,11.43
2002-02-13,11.53
2002-02-14,11.565
2002-02-15,11.45
2002-02-18,
2002-02-19,11.515
2002-02-20,11.41
2002-02-21,11.44
2002-02-22,11.44
2002-02-25,11.475
2002-02-26,11.405
2002-02-27,11.393
2002-02-28,11.36
2002-03-01,11.2825
2002-03-04,10.975
2002-03-05,11.005
2002-03-06,11.022
2002-03-07,11.59
2002-03-08,11.68
2002-03-11,11.476
2002-03-12,11.46
2002-03-13,11.635
2002-03-14,11.6912
2002-03-15,11.906
2002-03-18,11.95
2002-03-19,11.66
2002-03-20,11.675
2002-03-21,11.5
2002-03-22,11.47
2002-03-25,11.55
2002-03-26,11.49
2002-03-27,11.48
2002-03-28,11.335
2002-03-29,11.38
2002-04-01,11.36
2002-04-02,11.21
2002-04-03,11.14
2002-04-04,11.24
2002-04-05,11.14
2002-04-08,11.163
2002-04-09,11.266
2002-04-10,11.233
2002-04-11,11.241
2002-04-12,11.24
2002-04-15,11.18
2002-04-16,11.235
2002-04-17,11.153
2002-04-18,11.098
2002-04-19,11.14
2002-04-22,10.991
2002-04-23,10.97
2002-04-24,10.95
2002-04-25,10.91
2002-04-26,10.735
2002-04-29,10.595
2002-04-30,10.64
2002-05-01,10.5875
2002-05-02,10.56
2002-05-03,10.425
2002-05-06,10.43
2002-05-07,10.22
2002-05-08,10.29
2002-05-09,10.35
2002-05-10,10.223
2002-05-13,10.15
2002-05-14,10.1279
2002-05-15,10.26
2002-05-16,10.175
2002-05-17,10.06
2002-05-20,10.05
2002-05-21,10.11
2002-05-22,10.125
2002-05-23,10.145
2002-05-24,10.036
2002-05-27,
2002-05-28,9.915
2002-05-29,9.82
2002-05-30,9.713
2002-05-31,9.78
2002-06-03,9.84
2002-06-04,9.7
2002-06-05,9.955
2002-06-06,9.801
2002-06-07,9.884
2002-06-10,9.98
2002-06-11,10.081
2002-06-12,10.12
2002-06-13,10.28
2002-06-14,10.48
2002-06-17,10.615
2002-06-18,10.3
2002-06-19,10.266
2002-06-20,10.396
2002-06-21,10.25
2002-06-24,10.335
2002-06-25,10.348
2002-06-26,10.3
2002-06-27,10.36
2002-06-28,10.39
2002-07-01,10.07
2002-07-02,10.1138
2002-07-03,10.185
2002-07-04,
2002-07-05,10.09
2002-07-08,10.15
2002-07-09,9.9962
2002-07-10,10.02
2002-07-11,10.11
2002-07-12,9.97
2002-07-15,10.04
2002-07-16,10.1275
2002-07-17,10.1475
2002-07-18,9.96
2002-07-19,9.95
2002-07-22,9.995
2002-07-23,10.086
2002-07-24,10.35
2002-07-25,10.2
2002-07-26,10.28
2002-07-29,10.09
2002-07-30,10.15
2002-07-31,10.19
2002-08-01,10.27
2002-08-02,10.24
2002-08-05,10.523
2002-08-06,10.64
2002-08-07,10.435
2002-08-08,10.432
2002-08-09,10.47
2002-08-12,10.4475
2002-08-13,10.612
2002-08-14,10.495
2002-08-15,10.64
2002-08-16,10.5987
2002-08-19,10.62
2002-08-20,10.75
2002-08-21,10.88
2002-08-22,10.9
2002-08-23,10.856
2002-08-26,10.79
2002-08-27,10.554
2002-08-28,10.565
2002-08-29,10.653
2002-08-30,10.561
2002-09-02,
2002-09-03,10.7425
2002-09-04,10.68
2002-09-05,10.58
2002-09-06,10.495
2002-09-09,10.515
2002-09-10,10.648
2002-09-11,10.59
2002-09-12,10.48
2002-09-13,10.54
2002-09-16,10.73
2002-09-17,10.58
2002-09-18,10.6
2002-09-19,10.5487
2002-09-20,10.59
2002-09-23,10.68
2002-09-24,10.69
2002-09-25,10.59
2002-09-26,10.57
2002-09-27,10.55
2002-09-30,10.535
2002-10-01,10.42
2002-10-02,10.4275
2002-10-03,10.395
2002-10-04,10.433
2002-10-07,10.524
2002-10-08,10.53
2002-10-09,10.48
2002-10-10,10.43
2002-10-11,10.4475
2002-10-14,
2002-10-15,10.445
2002-10-16,10.412
2002-10-17,10.3
2002-10-18,10.38
2002-10-21,10.22
2002-10-22,10.18
2002-10-23,10.217
2002-10-24,10.13
2002-10-25,10.12
2002-10-28,10.0575
2002-10-29,10.08
2002-10-30,10.1
2002-10-31,10.0
2002-11-01,9.981
2002-11-04,9.92
2002-11-05,9.93
2002-11-06,9.91
2002-11-07,9.79
2002-11-08,9.79
2002-11-11,
2002-11-12,9.82
2002-11-13,9.827
2002-11-14,9.71
2002-11-15,9.65
2002-11-18,9.589
2002-11-19,9.59
2002-11-20,9.68
2002-11-21,9.63
2002-11-22,9.475
2002-11-25,9.275
2002-11-26,9.25
2002-11-27,9.27
2002-11-28,
2002-11-29,9.28
2002-12-02,9.2425
2002-12-03,9.27
2002-12-04,9.1525
2002-12-05,9.125
2002-12-06,9.2
2002-12-09,9.12
2002-12-10,8.98
2002-12-11,8.87
2002-12-12,8.915
2002-12-13,8.7375
2002-12-16,8.74
2002-12-17,9.11
2002-12-18,8.95
2002-12-19,9.0
2002-12-20,8.925
2002-12-23,8.84
2002-12-24,8.88
2002-12-25,
2002-12-26,8.86
2002-12-27,8.7325
2002-12-30,8.67
2002-12-31,8.585
2003-01-01,
2003-01-02,8.54
2003-01-03,8.44
2003-01-06,8.52
2003-01-07,8.6224
2003-01-08,8.62
2003-01-09,8.57
2003-01-10,8.53
2003-01-13,8.665
2003-01-14,8.84
2003-01-15,8.7537
2003-01-16,8.87
2003-01-17,8.88
2003-01-20,
2003-01-21,9.045
2003-01-22,8.98
2003-01-23,8.735
2003-01-24,8.74
2003-01-27,8.75
2003-01-28,8.765
2003-01-29,8.581
2003-01-30,8.645
2003-01-31,8.5
2003-02-03,8.5521
2003-02-04,8.34
2003-02-05,8.39
2003-02-06,8.35
2003-02-07,8.425
2003-02-10,8.5701
2003-02-11,8.385
2003-02-12,8.365
2003-02-13,8.358
2003-02-14,8.315
2003-02-17,
2003-02-18,8.415
2003-02-19,8.32
2003-02-20,8.12
2003-02-21,8.085
2003-02-24,8.1438
2003-02-25,8.1
2003-02-26,8.08
2003-02-27,8.02
2003-02-28,8.0955
2003-03-03,8.005
2003-03-04,8.02
2003-03-05,7.902
2003-03-06,8.04
2003-03-07,7.945
2003-03-10,7.9025
2003-03-11,7.9375
2003-03-12,8.01
2003-03-13,8.155
2003-03-14,8.2288
2003-03-17,8.2575
2003-03-18,8.21
2003-03-19,8.17
2003-03-20,8.13
2003-03-21,8.195
2003-03-24,8.145
2003-03-25,8.025
2003-03-26,7.945
2003-03-27,7.955
2003-03-28,7.985
2003-03-31,7.9
2003-04-01,7.88
2003-04-02,7.97
2003-04-03,7.89
2003-04-04,7.94
2003-04-07,8.045
2003-04-08,8.0225
2003-04-09,7.9237
2003-04-10,7.7825
2003-04-11,7.79
2003-04-14,7.8225
2003-04-15,7.7
2003-04-16,7.705
2003-04-17,7.6175
2003-04-18,7.6625
2003-04-21,7.655
2003-04-22,7.5575
2003-04-23,7.45
2003-04-24,7.29
2003-04-25,7.2375
2003-04-28,7.19
2003-04-29,7.175
2003-04-30,7.2875
2003-05-01,7.273
2003-05-02,7.505
2003-05-05,7.29
2003-05-06,7.29
2003-05-07,7.3275
2003-05-08,7.23
2003-05-09,7.27
2003-05-12,7.315
2003-05-13,7.35
2003-05-14,7.58
2003-05-15,8.03
2003-05-16,7.765
2003-05-19,7.9375
2003-05-20,7.76
2003-05-21,7.74
2003-05-22,7.83
2003-05-23,7.88
2003-05-26,
2003-05-27,8.12
2003-05-28,8.235
2003-05-29,8.105
2003-05-30,8.035
2003-06-02,8.02
2003-06-03,8.041
2003-06-04,8.165
2003-06-05,7.915
2003-06-06,8.04
2003-06-09,7.945
2003-06-10,7.98
2003-06-11,7.925
2003-06-12,7.81
2003-06-13,7.85
2003-06-16,7.78
2003-06-17,7.8425
2003-06-18,7.94
2003-06-19,7.9
2003-06-20,7.855
2003-06-23,7.96
2003-06-24,7.793
2003-06-25,7.6737
2003-06-26,7.595
2003-06-27,7.495
2003-06-30,7.51
2003-07-01,7.4425
2003-07-02,7.414
2003-07-03,7.53
2003-07-04,
2003-07-07,7.51
2003-07-08,7.67
2003-07-09,7.63
2003-07-10,7.535
2003-07-11,7.6125
2003-07-14,7.58
2003-07-15,7.66
2003-07-16,7.8
2003-07-17,7.735
2003-07-18,7.705
2003-07-21,7.65
2003-07-22,7.59
2003-07-23,7.495
2003-07-24,7.52
2003-07-25,7.425
2003-07-28,7.3576
2003-07-29,7.3725
2003-07-30,7.3933
2003-07-31,7.3801
2003-08-01,7.45
2003-08-04,7.4876
2003-08-05,7.44
2003-08-06,7.38
2003-08-07,7.248
2003-08-08,7.41
2003-08-11,7.365
2003-08-12,7.415
2003-08-13,7.415
2003-08-14,7.35
2003-08-15,7.335
2003-08-18,7.2875
2003-08-19,7.3595
2003-08-20,7.375
2003-08-21,7.49
2003-08-22,7.485
2003-08-25,7.5116
2003-08-26,7.35
2003-08-27,7.37
2003-08-28,7.37
2003-08-29,7.39
2003-09-01,
2003-09-02,7.291
2003-09-03,7.26
2003-09-04,7.32
2003-09-05,7.445
2003-09-08,7.5499
2003-09-09,7.4525
2003-09-10,7.405
2003-09-11,7.39
2003-09-12,7.365
2003-09-15,7.41
2003-09-16,7.5287
2003-09-17,7.3975
2003-09-18,7.34
2003-09-19,7.36
2003-09-22,7.2375
2003-09-23,7.1606
2003-09-24,7.1363
2003-09-25,7.09
2003-09-26,7.1885
2003-09-29,7.14
2003-09-30,6.9575
2003-10-01,6.915
2003-10-02,6.8475
2003-10-03,6.915
2003-10-06,6.95
2003-10-07,6.864
2003-10-08,6.88
2003-10-09,6.965
2003-10-10,6.9775
2003-10-13,
2003-10-14,6.96
2003-10-15,7.01
2003-10-16,7.01
2003-10-17,7.205
2003-10-20,7.1875
2003-10-21,7.13
2003-10-22,6.99
2003-10-23,6.99
2003-10-24,6.905
2003-10-27,6.88
2003-10-28,6.95
2003-10-29,6.92
2003-10-30,6.87
2003-10-31,6.895
2003-11-03,6.909
2003-11-04,6.9175
2003-11-05,6.9272
2003-11-06,6.99
2003-11-07,6.97
2003-11-10,6.945
2003-11-11,
2003-11-12,6.86
2003-11-13,6.72
2003-11-14,6.704
2003-11-17,6.7346
2003-11-18,6.6275
2003-11-19,6.615
2003-11-20,6.57
2003-11-21,6.525
2003-11-24,6.5651
2003-11-25,6.56
2003-11-26,6.46
2003-11-27,
2003-11-28,6.369
2003-12-01,6.3895
2003-12-02,6.3463
2003-12-03,6.265
2003-12-04,6.2601
2003-12-05,6.31
2003-12-08,6.475
2003-12-09,6.4075
2003-12-10,6.515
2003-12-11,6.4026
2003-12-12,6.36
2003-12-15,6.32
2003-12-16,6.375
2003-12-17,6.53
2003-12-18,6.67
2003-12-19,6.925
2003-12-22,6.935
2003-12-23,6.904
2003-12-24,6.695
2003-12-25,
2003-12-26,6.72
2003-12-29,6.731
2003-12-30,6.5875
2003-12-31,6.7
2004-01-01,
2004-01-02,6.565
2004-01-05,6.36
2004-01-06,6.5025
2004-01-07,6.5875
2004-01-08,6.63
2004-01-09,6.7608
2004-01-12,6.931
2004-01-13,6.92
2004-01-14,7.1
2004-01-15,7.29
2004-01-16,7.305
2004-01-19,
2004-01-20,7.115
2004-01-21,7.1401
2004-01-22,7.095
2004-01-23,7.158
2004-01-26,7.1926
2004-01-27,7.08
2004-01-28,6.92
2004-01-29,7.0735
2004-01-30,7.07
2004-02-02,7.05
2004-02-03,6.895
2004-02-04,6.89
2004-02-05,6.98
2004-02-06,6.995
2004-02-09,6.98
2004-02-10,6.865
2004-02-11,6.831
2004-02-12,6.655
2004-02-13,6.612
2004-02-16,
2004-02-17,6.565
2004-02-18,6.5825
2004-02-19,6.65
2004-02-20,6.705
2004-02-23,6.63
2004-02-24,6.57
2004-02-25,6.64
2004-02-26,6.61
2004-02-27,6.625
2004-03-01,6.6095
2004-03-02,6.715
2004-03-03,6.92
2004-03-04,6.813
2004-03-05,6.5725
2004-03-08,6.6004
2004-03-09,6.565
2004-03-10,6.661
2004-03-11,6.6845
2004-03-12,6.735
2004-03-15,6.6925
2004-03-16,6.712
2004-03-17,6.76
2004-03-18,6.66
2004-03-19,6.66
2004-03-22,6.473
2004-03-23,6.55
2004-03-24,6.58
2004-03-25,6.54
2004-03-26,6.56
2004-03-29,6.4
2004-03-30,6.335
2004-03-31,6.3235
2004-04-01,6.345
2004-04-02,6.412
2004-04-05,6.415
2004-04-06,6.34
2004-04-07,6.315
2004-04-08,6.34
2004-04-09,6.265
2004-04-12,6.295
2004-04-13,6.565
2004-04-14,6.6423
2004-04-15,6.66
2004-04-16,6.445
2004-04-19,6.5225
2004-04-20,6.5075
2004-04-21,6.7525
2004-04-22,6.8625
2004-04-23,6.7475
2004-04-26,6.765
2004-04-27,6.6825
2004-04-28,6.9251
2004-04-29,6.9
2004-04-30,6.94
2004-05-03,6.99
2004-05-04,6.904
2004-05-05,6.825
2004-05-06,6.905
2004-05-07,7.053
2004-05-10,7.05
2004-05-11,6.923
2004-05-12,6.85
2004-05-13,6.95
2004-05-14,6.7925
2004-05-17,6.7862
2004-05-18,6.76
2004-05-19,6.7375
2004-05-20,6.75
2004-05-21,6.75
2004-05-24,6.655
2004-05-25,6.6
2004-05-26,6.615
2004-05-27,6.58
2004-05-28,6.515
2004-05-31,
2004-06-01,6.44
2004-06-02,6.5356
2004-06-03,6.46
2004-06-04,6.46
2004-06-07,6.485
2004-06-08,6.58
2004-06-09,6.64
2004-06-10,6.5
2004-06-11,6.5301
2004-06-14,6.623
2004-06-15,6.465
2004-06-16,6.54
2004-06-17,6.52
2004-06-18,6.3985
2004-06-21,6.3125
2004-06-22,6.295
2004-06-23,6.2525
2004-06-24,6.2987
2004-06-25,6.3
2004-06-28,6.165
2004-06-29,6.2475
2004-06-30,6.2275
2004-07-01,6.245
2004-07-02,6.1125
2004-07-05,
2004-07-06,6.255
2004-07-07,6.1063
2004-07-08,6.0626
2004-07-09,6.115
2004-07-12,6.04
2004-07-13,6.115
2004-07-14,6.06
2004-07-15,6.095
2004-07-16,5.9631
2004-07-19,5.905
2004-07-20,5.97
2004-07-21,6.095
2004-07-22,6.07
2004-07-23,6.225
2004-07-26,6.2475
2004-07-27,6.341
2004-07-28,6.27
2004-07-29,6.27
2004-07-30,6.2725
2004-08-02,6.3255
2004-08-03,6.275
2004-08-04,6.275
2004-08-05,6.2575
2004-08-06,6.125
2004-08-09,6.09
2004-08-10,6.1575
2004-08-11,6.221
2004-08-12,6.4545
2004-08-13,6.48
2004-08-16,6.6
2004-08-17,6.482
2004-08-18,6.4999
2004-08-19,6.605
2004-08-20,6.5863
2004-08-23,6.68
2004-08-24,6.725
2004-08-25,6.6901
2004-08-26,6.625
2004-08-27,6.74
2004-08-30,6.7276
2004-08-31,6.645
2004-09-01,6.62
2004-09-02,6.57
2004-09-03,6.6576
2004-09-06,
2004-09-07,6.64
2004-09-08,6.6435
2004-09-09,6.68
2004-09-10,6.58
2004-09-13,6.557
2004-09-14,6.5037
2004-09-15,6.58
2004-09-16,6.5835
2004-09-17,6.56
2004-09-20,6.485
2004-09-21,6.4475
2004-09-22,6.525
2004-09-23,6.44
2004-09-24,6.4278
2004-09-27,6.402
2004-09-28,6.408
2004-09-29,6.445
2004-09-30,6.478
2004-10-01,6.4775
2004-10-04,6.48
2004-10-05,6.5337
2004-10-06,6.52
2004-10-07,6.634
2004-10-08,6.552
2004-10-11,
2004-10-12,6.6
2004-10-13,6.6195
2004-10-14,6.545
2004-10-15,6.4475
2004-10-18,6.3525
2004-10-19,6.3
2004-10-20,6.295
2004-10-21,6.235
2004-10-22,6.19
2004-10-25,6.22
2004-10-26,6.2595
2004-10-27,6.1575
2004-10-28,6.075
